Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes
Celiac Disease,Lunch,Tuna Salad (olive oil dressing),Pescatarian,Continental,530,35.2,32.0,14.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
PCOS,Snack,Tuna Salad (olive oil dressing),Pescatarian,Continental,161,28.9,47.0,27.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Obesity,Lunch,Quinoa Salad,Vegetarian,Mediterranean,490,24.3,21.4,23.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
PCOS,Snack,Lemon Herb Fish,Pescatarian,Mediterranean,228,20.5,67.2,8.4,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
PCOS,Lunch,Ragi Porridge,Vegan,Indian,489,25.9,77.4,17.2,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Fatty Liver,Breakfast,Tuna Salad (olive oil dressing) light masala,Pescatarian,Continental,438,18.0,30.1,7.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Heart Disease,Dinner,Tabbouleh with quinoa,Vegan,Mediterranean,447,9.1,87.4,19.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Depression/Anxiety,Snack,Tofu Stir Fry,Vegetarian,Asian,252,10.0,80.1,21.7,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
GERD,Breakfast,Grilled Halloumi Salad,Vegetarian,Continental,531,37.9,73.6,9.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Kidney Disease,Breakfast,Fish Tikka (tandoor style),Pescatarian,Indian,633,18.3,88.8,16.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Fatty Liver,Dinner,Steamed Fish with Ginger,Non-Vegetarian,Asian,415,25.5,27.4,5.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Gastritis,Snack,Lemon Herb Fish,Pescatarian,Mediterranean,250,22.6,48.0,16.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
GERD,Snack,Chicken and Broccoli Stir Fry,Non-Vegetarian,Asian,377,8.4,77.0,10.7,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
GERD,Dinner,Besan Chilla,Vegan,Indian,444,6.8,54.7,16.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Heart Disease,Lunch,Baked Cod with Herbs with herbs,Pescatarian,Continental,470,6.4,75.3,24.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Hypertension,Dinner,Ragi Dosa with quinoa,Vegetarian,Indian,472,9.6,36.0,27.2,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
Heart Disease,Dinner,Baked Herb Salmon,Non-Vegetarian,Mediterranean,415,27.0,71.1,9.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
High Cholesterol,Breakfast,Paneer Bhurji,Vegetarian,Indian,209,33.2,42.0,23.5,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Depression/Anxiety,Dinner,Grilled Halloumi Salad,Vegetarian,Continental,569,28.4,56.5,5.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
GERD,Lunch,Fish Tikka (tandoor style),Pescatarian,Indian,453,19.0,64.0,12.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Obesity,Breakfast,Avocado Toast with Seeds,Vegetarian,Continental,549,12.6,26.1,10.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Fatty Liver,Lunch,Ragi Porridge,Vegan,Indian,450,25.2,88.5,25.4,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Thyroid,Snack,Mixed Vegetable Sambar,Vegan,Indian,387,27.0,24.2,24.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
GERD,Breakfast,Vegetable Upma with herbs,Vegetarian,Indian,209,34.3,48.4,15.5,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Fatty Liver,Lunch,Vegetable Soup,Vegetarian,Continental,334,19.8,55.0,16.4,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Fatty Liver,Snack,Paneer Bhurji with herbs,Vegetarian,Indian,402,12.8,39.0,12.5,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
